id	title	name_src	type	aat_type	parent	close_match
00107	Achogoa	alcedo	pueblo	towns	Cinaloa	
00108	Achonga	alcedo	pueblo	towns	Corregimiento de Angaraes	
00109	Achoupekahigan	alcedo	rio	rivers		
00110	Acla	alcedo	ciudad	citys	Reyno de Tierra Firme	
00111	Acobamba	alcedo	pueblo	towns	Corregimiento de Angaraes	
00112	Acobamba	alcedo	pueblo	towns	Corregimiento de Jauja	
00113	Acobamba	alcedo	provincia	provinces	Corregimiento de Tarma	
00114	Acobambilla	alcedo	pueblo	towns	Corregimiento de Angaraes	[https://www.hgis-indias.net/dokuwiki/doku.php?id=6000600]
00115	Acochala	alcedo	monte	mountains	Corregimiento de Lipes	
00116	Acocho	alcedo	pueblo	towns	Corregimiento de Huanta	
00117	Acola	alcedo	pueblo	towns	Corregimiento de Lucanas	[https://www.hgis-indias.net/dokuwiki/doku.php?id=6000511]
00118	Acolman	alcedo	pueblo	towns	Tezcoco	[https://www.hgis-indias.net/dokuwiki/doku.php?id=1001635]
00119	Acoma	alcedo	pueblo	towns	Nuevo México	[https://www.hgis-indias.net/dokuwiki/doku.php?id=1004765]
00120	Acomack	alcedo	condado	countys		
00121	Acomaio	alcedo	pueblo	towns	Corregimiento de Huanuco	
00122	Acomaio	alcedo	pueblo	towns	Corregimiento de Quispicanchi	
00123	Acomarca	alcedo	pueblo	towns	Corregimiento de Vilcas Huaman	[https://www.hgis-indias.net/dokuwiki/doku.php?id=8000353]
00124	Acomes	alcedo	rio	rivers		
00125	Acomulco	alcedo	pueblo	towns	Nueva España	[https://www.hgis-indias.net/dokuwiki/doku.php?id=1001829]
00126	Aconcaguap	alcedo	provincia	provinces	Reyno de Chile	
00127	Aconcaguap	alcedo				
00128	Aconcaguap	alcedo	pueblo	towns		
00130	Aconchi	alcedo	pueblo	towns	Sonora	[https://www.hgis-indias.net/dokuwiki/doku.php?id=1003944]
00131	Aconichi	alcedo	pueblo	towns		
00132	Aconichi	alcedo	isla	islands		
00133	Acokquija	alcedo	cerro	mountains	Tucuman	
00134	Acopia	alcedo	pueblo	towns	Corregimiento de Quispicanchi	[https://www.hgis-indias.net/dokuwiki/doku.php?id=6000338]
00135	Acora	alcedo	pueblo	towns	Chucuito	[https://www.hgis-indias.net/dokuwiki/doku.php?id=8000200]
00136	Acori	alcedo	rio	rivers		
00137	Acoria	alcedo	pueblo	towns	Corregimiento de Angaraes	[https://www.hgis-indias.net/dokuwiki/doku.php?id=6000583]
00138	Acos	alcedo	pueblo	towns	Perú	[https://www.hgis-indias.net/dokuwiki/doku.php?id=6000339]
00139	Acos	alcedo	provincia	provinces	Corregimiento de Quispicanchi	
00140	Acosta	alcedo	pueblo	towns	Brazil	
00141	Acostamba	alcedo	pueblo	towns	Perú	[https://www.hgis-indias.net/dokuwiki/doku.php?id=6000625]
00142	Acostambo	alcedo	pueblo	towns	Corregimiento de Huanta	
00143	Acotama	alcedo	pueblo	towns	Corregimiento de Chancay	[https://www.hgis-indias.net/dokuwiki/doku.php?id=6000805]
00144	Acotitlan	alcedo	pueblo	towns	Autlán	
00145	Acoxchiapa	alcedo	pueblo	towns	Cuernavaca	
00146	Actipa	alcedo	pueblo	towns	Tezcoco	
00147	Actipaque	alcedo	pueblo	towns	Nueva España	
00148	Actopan	alcedo	alcaldía mayor	inhabited places		
00149	Actopan	alcedo	pueblo	towns		
00150	Acua	alcedo	rio	rivers		
00151	Acuiapan	alcedo	pueblo	towns	Zultepec	
00152	Acuilpa	alcedo	pueblo	towns	Tlapa	
00153	Acuio	alcedo	pueblo	towns	Cinagua	
00154	Acul	alcedo	isla	islands		
00155	Acul	alcedo	pueblo	towns		
00156	Acul	alcedo				
00158	Acula	alcedo	pueblo	towns	Cozamaloapan	[https://www.hgis-indias.net/dokuwiki/doku.php?id=1004184]
00159	Aculeo	alcedo	laguna	lagoons	Reyno de Chile	
00160	Acuma	alcedo	rio	rivers		
00161	Acuracu	alcedo	rio	rivers		
00162	Acuraipiti	alcedo	rio	rivers	Paraguay	
00163	Acutitlan	alcedo	pueblo	towns	Zultepec	
00164	Acutzio	alcedo	pueblo	towns	Valladolid	
00165	Adaes	alcedo			los Texas ó Nuevas Filipinas	
00166	Adaes	alcedo	laguna	lagoons		
00167	Adaes	alcedo	rio	rivers		
00168	Adaua	alcedo	rio	rivers	S. Juan de los Llanos	
00169	Adauaquiana	alcedo	rio	rivers	la Guayana ó Nueva Andalucía	
00170	Adicon	alcedo	puerto	ports	Venezuela	
00171	Addi	alcedo	pueblo	towns	Sonora	
00172	Addis	alcedo	isla	islands		
00173	Aeoles	alcedo	pueblo	towns	Nuevo Reyno de Granada	
00174	Adoratorio	alcedo			Corregimiento de Huarochiri	
00175	Aduana	alcedo	pueblo	towns	Maracaibo	
00176	Aduance	alcedo				
00177	Aeiquaia	alcedo	pueblo	towns	Tonalá	
00178	Aeriuctuqxjen	alcedo	monte	mountains		
00179	Affreux	alcedo	laguna	lagoons		
00180	Aga	alcedo	monte	mountains		
00181	Agaces	alcedo	nación de indios	cultural groups	Provincia del Paraguay	
00182	Agalteca	alcedo	rio	rivers	Honduras	
00183	Agamentico	alcedo	rio	rivers		
00184	Agchilla	alcedo	pueblo	towns	Corregimiento de Pilaya y Paspaya	[https://www.hgis-indias.net/dokuwiki/doku.php?id=8000058]
00185	Agenagateninga	alcedo	rio	rivers	País de las Amazonas	
00186	Agiqua	alcedo	rio	rivers		
00187	Aunalos	alcedo	nación de indios	cultural groups	Nuevo Reyno de Granada	
00188	Agnapuras	alcedo	monte	mountains	Reyno dPerú	
00189	Agoniche	alcedo	rio	rivers		
00190	Agratumati	alcedo	rio	rivers	Darien	
00191	Agreda	alcedo	ciudad	citys	Popayan	
00192	Agresinas	alcedo	pueblo	towns	Brazil	
00193	Agrias	alcedo	nación de indios	cultural groups	Santa Marta	
00194	Agua	alcedo	puerto	ports		
00195	Agua	alcedo	isla	islands		
00196	Agua	alcedo			Corregimiento de Cuyo	
00197	Aguablanca	alcedo	pueblo	towns	Venezuela	[https://www.hgis-indias.net/dokuwiki/doku.php?id=4000231]
00198	Agua	alcedo				
00199	Aguacagua	alcedo	pueblo	towns	Guayana	[https://www.hgis-indias.net/dokuwiki/doku.php?id=4000440]
00200	Agua	alcedo	provincia	provinces	Reyno de Goatemala	
00201	Aguacatal	alcedo	pueblo	towns	Antioquia	
00202	Aguacatenango	alcedo	pueblo	towns	Reyno de Goatemala	[https://www.hgis-indias.net/dokuwiki/doku.php?id=2000026]
00203	Aguacatlan	alcedo	pueblo	towns	Xala	
00204	Aguaceapa	alcedo	pueblo	towns	Reyno de Goatemala	
00205	Aguada	alcedo	isla	islands		
00206	Aguada	alcedo				
00209	Aguada	alcedo	rio	rivers		
00210	Aguada	alcedo	islote	islands	Corregimiento de Atacama	
00211	Aguada	alcedo	punta	capes	Cartagena	
00212	Agua	alcedo	rio	rivers	Paraguay	
00213	Agua	alcedo	rio	rivers		
00214	Aguadilla	alcedo	rio	rivers	Reyno de Tierra Firme	
00215	Aguadores	alcedo	rio	rivers	Isla de Cuba	
00217	Agua	alcedo	pueblo	towns	Sonora	
00218	Aguaio	alcedo	pueblo	towns	Sierra Gorda	
00219	Aguaio	alcedo	pueblo	towns	Nuevo Reyno de León	
00220	Aguaius	alcedo	pueblo	towns	Quixos y Macas	
00221	Aguaje	alcedo	pueblo	towns	Sonora	[https://www.hgis-indias.net/dokuwiki/doku.php?id=10000072]
00222	Aguajes	alcedo	pueblo	towns	Reyno del Nueva Vizcaya	
00223	Agualei	alcedo	rio	rivers	la Guayana	
00224	Agualulco	alcedo	pueblo	towns		
00225	Aguamela	alcedo	pueblo	towns	Nuevo Reyno de Granada	
00226	Aguamiro	alcedo	pueblo	towns	Corregimiento de Huamalies	[https://www.hgis-indias.net/dokuwiki/doku.php?id=6001452]
00227	Aguan	alcedo	rio	rivers	Honduras	
00228	Aguanato	alcedo	pueblo	towns	Valladolid	
00229	Aguang	alcedo	laguna	lagoons	Mainas	
00230	Aguanos	alcedo	pueblo	towns	Mainas	
00231	Aguanos	alcedo	pueblo	towns		
00232	Aguapai	alcedo	rio	rivers	Paraguay	
00233	Aguapai	alcedo	rio	rivers		
00234	Aguapei	alcedo	rio	rivers		
00235	Aguarau	alcedo	rio	rivers	Paraguay	
00236	Aguarico	alcedo	pueblo	towns	Mainas	[https://www.hgis-indias.net/dokuwiki/doku.php?id=5600756]
00237	Aguaringua	alcedo	pueblo	towns	Santa Marta	
00238	Aguaso	alcedo	rio	rivers	Honduras	
00239	Aguas	alcedo	rio	rivers	Paraguay	
00240	Aguas	alcedo				
00242	Aguas	alcedo	alcaldía mayor	inhabited places	Reyno de Nueva Galicia	
00243	Aguas	alcedo	pueblo	towns	Venezuela	
00244	Aguastelas	alcedo	pueblo	towns	Xalapa	
00245	Aguatepec	alcedo	pueblo	towns	Tecali	[https://www.hgis-indias.net/dokuwiki/doku.php?id=1004044]
00246	Aguatlan	alcedo	pueblo	towns	Izucar	[https://www.hgis-indias.net/dokuwiki/doku.php?id=1001220]
00247	Aguatubi	alcedo	pueblo	towns	Nuevo México	
00248	Aguatulco	alcedo	rio	rivers	Nueva España	
00250	Agueda	alcedo	monte	mountains		
00252	Aguijo	alcedo	pueblo	towns	Nuevo Reyno de León	
00253	Aguila	alcedo	villa	towns	Xerez	
00254	Iii	alcedo			Darien	
00255	Iii	alcedo	isla	islands		
00256	Aguilusco	alcedo	pueblo	towns	Tala	
00257	Aguiran	alcedo	pueblo	towns	Valladolid	
00258	Aguirre	alcedo	rio	rivers	Venezuela	
00259	Aguirre	alcedo			Corregimiento de Coquimbo	
00260	Aguja	alcedo	punta	capes	Santa Marta	
00261	Aguja	alcedo			Corregimiento de Piura	
00262	Agur	alcedo	pueblo	towns	Brazil	
00263	Agustin	alcedo	ciudad	citys	la Florida	
00264	Agustin	alcedo	pueblo	towns	Reyno del Nueva Vizcaya	
00265	Agustin	alcedo			Marinalco	
00266	Agustin	alcedo	alcaldía mayor	inhabited places	Tepeaca	
00267	Agustin	alcedo	alcaldía mayor	inhabited places	Xicayán	
00268	Agustin	alcedo	villa	towns		
00269	Agustin	alcedo	provincia	provinces	Tucumán	
00270	Agustin	alcedo	alcaldía mayor	inhabited places	Vera Paz	
00271	Agustin	alcedo	reyno	kingdoms	Popayan	
00272	Agustin	alcedo	provincia	provinces	Buenos Ayres	
00273	Agustin	alcedo	alcaldía mayor	inhabited places	Culiacán	
00274	Agustin	alcedo	punta	capes		
00275	Agustin	alcedo	punta	capes	Rio de Hacha	
00276	Agustin	alcedo	rio	rivers	Antioquía	
00277	Agustin	alcedo	isla	islands		
00278	Ahome	alcedo	nación de indios	cultural groups		
00279	Ahorcados	alcedo	punta	capes		
00280	Ahorcados	alcedo			Guayaquil	
00281	Ahuacates	alcedo	pueblo	towns	Cuernavaca	
00282	Ahuacatepec	alcedo	pueblo	towns		[https://www.hgis-indias.net/dokuwiki/doku.php?id=1003648]
00283	Aruacatlan	alcedo	pueblo	towns	Zultepec	
00284	Aruacatlan	alcedo	pueblo	towns	Nueva España	
00285	Aruacatlan	alcedo	partido	districts	Zacatlán	
00286	Aruacatlan	alcedo	alcaldía mayor	inhabited places	Tlapa	
00287	Ahuacazaixa	alcedo	pueblo	towns	Tlapa	
00288	Ahuacazingo	alcedo	pueblo	towns	Chilapa	
00289	Ahualican	alcedo	pueblo	towns	Tixtlan	
00290	Ahuatelco	alcedo	pueblo	towns	Nueva España	[https://www.hgis-indias.net/dokuwiki/doku.php?id=1003401]
00291	Ahuatepec	alcedo	pueblo	towns	Tlapa	
00292	Ahuatempa	alcedo	pueblo	towns	Cholula	[https://www.hgis-indias.net/dokuwiki/doku.php?id=1003176]
00293	Ahuatlan	alcedo	pueblo	towns	Querétaro	
00294	Ahuehuezingo	alcedo	pueblo	towns	Izucar	
00295	Ahuezitla	alcedo	pueblo	towns	Tlapa	
00296	Aiabaca	alcedo	pueblo	towns	Perú	
00297	Aiacasi	alcedo	pueblo	towns	Corregimiento de Chumbivilcas	
00298	Aiacoa	alcedo	rio	rivers	la Guayana ó Nueva Andalucía	
00299	Aiacocha	alcedo	pueblo	towns	Corregimiento de Huanta	
00300	Aiahualtempa	alcedo	pueblo	towns	Chilapa	
00301	Aiahualulco	alcedo	pueblo	towns	Xalapa	
00302	Aiahualulco	alcedo	pueblo	towns	Chilapa	
00303	Aiamascap	alcedo	provincia	provinces	Corregimiento de Castro Virreyna	
00304	Aiahuasa	alcedo	pueblo	towns	Corregimiento de Aimaraez	
00305	Aianaee	alcedo	pueblo	towns		
00306	Aiapango	alcedo	pueblo	towns	Chalco	
00307	Aiapata	alcedo	pueblo	towns	Corregimiento de Carabaya	
00308	Aiapel	alcedo	villa	towns	Antioquía	
00309	Alaranga	alcedo	pueblo	towns	Corregimiento de Chancay	
00310	Aiaei	alcedo	pueblo	towns	Corregimiento de Huanta	
00311	Aiata	alcedo	pueblo	towns	Corregimiento de Larecaja	
00312	Aiatasxo	alcedo	rio	rivers	Tucuman	
00313	Aiatepec	alcedo	pueblo	towns	Villalta	
00314	Aiaui	alcedo	pueblo	towns	Corregimiento de Castro Virreyna	
00315	Aiauiri	alcedo	pueblo	towns	Corregimiento de Lampa	
00316	Aiauiri	alcedo	pueblo	towns	Corregimiento de Yauyos	
00317	Aiautla	alcedo	pueblo	towns	Teutila	
00318	Aicaropa	alcedo	rio	rivers	la Guayaná ó Nueva Andalucía	
00319	Aiches	alcedo	pueblo	towns	los Texas	
00320	Aiciachia	alcedo	pueblo	towns	Reyno de Nueva Vizcaya	
00321	Aiectipac	alcedo	pueblo	towns	Nueva España	
00322	Aiencas	alcedo	pueblo	towns	Corregimiento de Cuenca	
00323	Aigame	alcedo	pueblo	towns	Sonora	[https://www.hgis-indias.net/dokuwiki/doku.php?id=1005449]
00324	Aija	alcedo	pueblo	towns	Corregimiento de Huailas	[https://www.hgis-indias.net/dokuwiki/doku.php?id=6001105]
00325	Aises	alcedo	rio	rivers	la Luisiana	
00326	Aimaraez	alcedo	provincia	provinces		
00327	Aimarapa	alcedo	rio	rivers		
00328	Ainaca	alcedo	pueblo	towns	Corregimiento de Caxatambo	
00329	Ainacolca	alcedo	provincia	provinces	Corregimiento de Condesuyos de Arequipa	
00330	Aio	alcedo	pueblo	towns	Perú	[https://www.hgis-indias.net/dokuwiki/doku.php?id=1005120]
00331	Aio	alcedo	pueblo	towns	Corregimiento de Sicasica	
00332	Aiocuesco	alcedo	pueblo	towns	Antequera	
00333	Aiotitlan	alcedo	pueblo	towns	Nueva España	
00334	Aionantou	alcedo	pueblo	towns		
00335	Aiozinapa	alcedo	pueblo	towns	Tlapa	
00336	Aiozingo	alcedo	pueblo	towns	Chalco	
00337	Aiquile	alcedo	pueblo	towns	Provincia de Mizque	
00338	Airicos	alcedo	nación de indios	cultural groups	Nuevo Reyno de Granada	
00339	Airicos	alcedo				
00340	Airihuanca	alcedo	pueblo	towns	Corregimiento de Cotabamba,	
00341	Airs	alcedo	ciudad	citys		
00342	Ayuda	alcedo	aldea	towns	Brazil	
00343	Ayuda	alcedo	pueblo	towns	Brazil	
00344	Aiuila	alcedo	rio	rivers	Soconusco	
00345	Aiuinos	alcedo	nación de indios	cultural groups	Cinaloa	
00346	Aiun	alcedo	rio	rivers	Virreynato de Buenos Ayres	
00347	Aiuncha	alcedo	pueblo	towns	Tucuman	
00348	Aiutla	alcedo	pueblo	towns	Villalta	
00349	Aiutla	alcedo	pueblo	towns	Autlán	
00350	Aiua	alcedo	isla	islands		
00351	Aix	alcedo	playon	shores		
00352	Aix	alcedo	rio	rivers		
00353	Ajoiani	alcedo	pueblo	towns	Corregimiento de Carabaya	
00354	Ajoues	alcedo	pueblo	towns	la Luisiana	
00355	Ajoues	alcedo	pueblo	towns		
00356	Akanceas	alcedo	nación de indios	cultural groups		
00357	Akankia	alcedo	rio	rivers		
00358	Aicansa	alcedo	pueblo	towns		
00359	Aicansa	alcedo	pueblo	towns		
00360	Aicansa	alcedo	rio	rivers		
00361	Akouica	alcedo	pueblo	towns		
00362	Alaclatzala	alcedo	pueblo	towns	Tlapa	
00363	Alacranes	alcedo				
00364	Alahuiztlan	alcedo	pueblo	towns	Zaqualpa	
00365	Alain	alcedo	rio	rivers	Reyno de Quito	
00366	Alameda	alcedo	pueblo	towns	Nuevo México	[https://www.hgis-indias.net/dokuwiki/doku.php?id=1004766]
00367	Alamillos	alcedo	pueblo	towns	Reyno del Nueva Vizcaya	
00368	Alamo	alcedo	pueblo	towns	Nuevo Reyno de León	[https://www.hgis-indias.net/dokuwiki/doku.php?id=1000392]
00369	Alamos	alcedo	pueblo	towns	Nueva España	
00370	Alamos	alcedo				
00371	Alamos	alcedo	villa	towns	Sonora	
00372	Alamos	alcedo	pueblo	towns		
00373	Alamos	alcedo			Reyno del Nueva Vizcaya	
00374	Alamos	alcedo	pueblo	towns	Cinaloa	
00375	Alangasi	alcedo	pueblo	towns	Reyno de Quito	[https://www.hgis-indias.net/dokuwiki/doku.php?id=5600213]
00376	Alangasi	alcedo	rio	rivers		
00377	Alanis	alcedo	pueblo	towns	Maracaibo	
00378	Alanje	alcedo	ciudad	citys	Reyno de Tierra Firme	
00379	Alaques	alcedo	pueblo	towns	Corregimiento de Tacunga	[https://www.hgis-indias.net/dokuwiki/doku.php?id=5600123]
00380	Alaquines	alcedo	pueblo	towns	Valles	[https://www.hgis-indias.net/dokuwiki/doku.php?id=1004974]
00381	Alara	alcedo	rio	rivers	Antioquía	
00382	Alatahama	alcedo	rio	rivers	la Florida	
00383	Alausi	alcedo	provincia	provinces	Reyno de Quito	
00384	Alausi	alcedo				
00385	Albania	alcedo	condado	countys		
00386	Albania	alcedo	lago	lakes		
00387	Albania	alcedo	fuerte	inhabited places		
00388	Albaricoques	alcedo	punta	capes		
00389	Albarracin	alcedo	monte	mountains	Nuevo Reyno de Granada	
00390	Albarraba	alcedo	pueblo	towns	Reyno de Chile	
00391	Albarraba	alcedo			Teutitlán	
00392	Albarregas	alcedo	rio	rivers	Nuevo Reyno de Granada	
00393	Albemarle	alcedo	condado	countys		
00395	Albemarle	alcedo	estrecho	straits		
00396	Alberto	alcedo			Ixmiquilpan	
00397	Albor	alcedo	isla	islands		
00398	Alburquerque	alcedo	pueblo	towns	Colotlán	
00399	Alburquerque	alcedo	villa	towns	Nuevo México	
00400	Alburquerque	alcedo	baxo	valleys		
00401	Alca	alcedo	pueblo	towns	Perú	[https://www.hgis-indias.net/dokuwiki/doku.php?id=6000238]
00402	Alcala	alcedo	pueblo	towns	Chiapa	[https://www.hgis-indias.net/dokuwiki/doku.php?id=5600825]
00403	Alcamani	alcedo	pueblo	towns	Iguala	
00404	Alcantara	alcedo	villa	towns	Brazil	
00405	Alcantara	alcedo	pueblo	towns	Partido de Chanco	[https://www.hgis-indias.net/dokuwiki/doku.php?id=7000146]
00406	Alcarai	alcedo	rio	rivers	Buenos Ayres	
00407	Alcatraces	alcedo	isla	islands		
00408	Alchichica	alcedo			Izucar	
00409	Alchidomas	alcedo	pueblo	towns	Nuevo México	
00410	Alco	alcedo	pueblo	towns	Corregimiento de Chumbivilcas	[https://www.hgis-indias.net/dokuwiki/doku.php?id=6000250]
00411	Alcoholades	alcedo	nación de indios	cultural groups		
00412	Alcozauca	alcedo	pueblo	towns	Tlapa	[https://www.hgis-indias.net/dokuwiki/doku.php?id=1003651]
00413	Aldas	alcedo			Zultepec	
00414	Aldea	alcedo	aldea	towns	Brazil	
00415	Aldea	alcedo	pueblo	towns	Brazil	
00416	Aldwort	alcedo	isla	islands		
00417	Alebaster	alcedo	isla	islands		
00418	Alegre	alcedo	pueblo	towns	Brazil	
00419	Alexandria	alcedo	pueblo	towns		
00420	Alexo	alcedo	isla	islands		
00421	Alearo	alcedo	pueblo	towns		
00422	Alfaxaiuca	alcedo	pueblo	towns	Xilotepec	
00423	Alferez	alcedo	valle	valleys	Nuevo Reyno de Granada	
00424	Alferez	alcedo	rio	rivers		
00425	Algarrobo	alcedo	pueblo	towns	Antioquía	[https://www.hgis-indias.net/dokuwiki/doku.php?id=5000154]
00426	Algodon	alcedo	isla	islands		
00427	Algodon	alcedo	pueblo	towns		
00428	Algodonales	alcedo	pueblo	towns	Corregimiento de Atacama	
00429	Algonquinenses	alcedo	nación de indios	cultural groups		
00430	Alguilgua	alcedo				
00431	Alhue	alcedo	pueblo	towns	Corregimiento de Rancagua	[https://www.hgis-indias.net/dokuwiki/doku.php?id=7000263]
00432	Alhue	alcedo	provincia	provinces		
00433	Allante	alcedo	reyno	kingdoms	Reyno de Chile	
00434	Alibamons	alcedo	nación de indios	cultural groups		
00435	Alina	alcedo	pueblo	towns	Tancitaro	
00436	Alis	alcedo	pueblo	towns	Corregimiento de Yauyos	[https://www.hgis-indias.net/dokuwiki/doku.php?id=6000912]
00437	Alisos	alcedo	islote	islands		
00438	Alitatis	alcedo	isla	islands		
00439	Aljaraca	alcedo	rio	rivers	Corregimiento de Sicasica	
00440	Aljojuca	alcedo	pueblo	towns	Tepeaca	[https://www.hgis-indias.net/dokuwiki/doku.php?id=1003534]
00441	Alkansas	alcedo	nación de indios	cultural groups		
00442	Allauca	alcedo	pueblo	towns	Corregimiento de Yauyos	[https://www.hgis-indias.net/dokuwiki/doku.php?id=6000913]
00443	Allca	alcedo	reyno	kingdoms	Reyno dPerú	
00444	Allegheni	alcedo	villa	towns		
